city ,state,population,density,percent_nw,year,year_date,ind,number,type,type_detailed_year,type_detailed_all,condition,source,current,past,summary,gov_funding,procurement,legal_challenges,challenges_info,challenge_start,challenge_end,challenge_length_days,challenge_organization,foi,foi_name,lat,long
New York,New York,"8,622,698","28,317",68.2,2008,1/1/08,0,0,0,,,0,0,0,0,"2012 New York City entered into a contract with Palantir for services not limited to predictive policing technologies (expected to terminate in 2016); 2013 New York City participated in Risk Terrain Modelling research lead by Rutgers University and John Jay College if Criminal Justice and fund by the National Institute of Justice; 2015-2016 New York City awarded contracts to three predictive policing vendors (HunchLab, Keystats Inc., and PredPol) to conduct 30-90 day trials of their products during the final few months of 2015 and the first few months of 2016. Prior to the trial period, the NYPD filed a notice of intent and a request for funding to enter a two-and-a-half year contract with their preferred vendor (at the time HunchLab). However there is no record of continued business with any vendor after the trial period; 2017 while there was no documentation of a contract extension (following the original termination date in 2016), news reports indicate the NYPD elected to cancel whatever contract it currently held with Palantir in favor of deploying ""Cobalt"" a predictive policing tool developed in-house with the help of some IBM statistical packages. The NYPD sees Cobalt as the future of its predictive policing program; 2018 ShotSpotter (a gunshot detection software used by New York City) purchased HunchLab's predictive analytics package to be incorporated into its software. ",2009 NIJ; 2013 NIJ,NYPD; NYC DoIT,1,FOI request for PPA info,6/14/2016,12/27/2017,561,Brennan Center for Justice,YES,New York Freedom of Information Law,40.7127837,-74.005941
Los Angeles,California,"3,999,759","8,484",71.5,2008,1/2/08,1,1,9,UNNAMED,UNNAMED,5,3,1,0,"2008 Los Angeles Police Department Chief announced that the LAPD had found early success using predictive analytics to predict gang violence and monitor crime in real time and was exploring options to develop the concept of predictive policing; 2009 Los Angeles Police Department partnered with researchers at UCLA to develop a predictive policing model that would later become PredPol; 2010 Los Angeles County Sheriff's Department entered into a contract with Palantir (this contract would be renewed through at least 2015). However the services rendered in the contract do not explicitly include predictive policing; 2011 Los Angeles Police Department begins Operation LASER (a program designed to predict individuals most likely to commit a crime using technology and models provided by Palantir (Operation LASER appears to still be in use through 2018); 2012 PredPol incorporates and is officially deployed within the LAPD Foothill Division; 2013 Los Angeles Police Department expands its use of PredPol. While the LAPD has not produced any documents confirming a contract with PredPol, news reports support claims that the LAPD used PredPol through at least 2016 and indicate a high likelihood of current use. Rutgers University also reports that its Risk Terrain Modelling software was used by Los Angeles in at least 2013; 2014 PredPol is deployed in one-third of the LAPD's divisions; 2015 Los Angeles County Sheriff's Department entered into a new contract with Palantir that it extended in 2016 with an option to extend through 2019.",2009 NIJ,LAPD; LASD,1,FOI request for PPA info,5/10/2017,,660,Stop LAPD Spying Coalition,YES,California Public Records Act,34.0522342,-118.24368
Chicago,Illinois,"2,716,450","11,900",67.4,2008,1/3/08,0,0,0,,,0,0,0,0,"2013 Chicago Police Department deployed the Strategic Subject List (SSL) an in-house predictive policing software (it had been in the pipeline since 2011) that predicts individuals most likely to commit a crime. Reports indicate that despite receiving heightened criticism in 2016, the SSL was in use through at least 2017 and likely is still in use; 2014 Chicago Police Department participated in a Rutgers Study testing the effectiveness of using Risk Terrain Modelling on shootings data; 2016 Chicago Police Department entered into a contract with HunchLab for two pilot sessions over a 24-month period; 2018 ShotSpotter (a gunshot detection software used by Chicago) purchased HunchLab's predictive analytics package to be incorporated into its software. ",2009 NIJ; 2011 NIJ; 2012 NIJ; 2014 NIJ,CPD,1,FOI request for PPA info,9/15/2016,,897,Chicago Sun-Times,YES,Illinois Freedom of Information Act,41.8781136,-87.629798
Houston,Texas,"2,312,717","3,613",75.9,2008,1/4/08,0,0,0,,,0,0,0,0,"2015 Houston Police Department contracted PredPol for a trial. There is no evidence of continued use after the expiration of the pilot. The Houston Chief of Police also notes that the department attempted to produce their own in-house predictive software, but were unsuccessful in producing a product of much use.",,HPD,0,,,,,,YES,Texas Public Information Act,29.7604267,-95.369803
Phoenix,Arizona,"1,626,078","3,120",57.9,2008,1/5/08,0,0,0,,,0,0,0,0,2015 Phoenix Police Department extended its contract with BAIR Analytics for its ATACRAIDS product through 2016 (this combined with statements by the company's CEO indicate that the product was used in Phoenix at least as early as 2014). Later that year BAIR was purchased by LexisNexis and incorporated into its predictive analytics product: Accurint. There is no record of continued use after 2016. In 2015 the Arizona state legislature also voted to approve funding for a series of PredPol trials in cities including Phoenix and Mesa. However this bill was later vetoed by the governor.,,PPD; Governor & State Legislature,0,,,,,,YES,Arizona Public Records Law,33.4483771,-112.07404
Philadelphia,Pennsylvania,"1,580,863","11,683",65.4,2008,1/6/08,1,1,3,HunchLab,HunchLab,4,5,1,0,2008 Philadelphia Police Department along with researchers from Temple and Rutgers University began testing a predictive policing product developed by Azavea; 2011 Hunchlab was released as a marketable product with predictive forecasting capabilities and research in Philadelphia stopped; 2013 Philadelphia Police Department purchased Hunchlab; 2015 Philadelphia Police Department extended its contract with Azavea for HunchLab through 2016. Research on the effect of the program (lead by Temple University researchers along with members of the PPD) resumed during this period. There has been no information on whether the PPD has continued to use HunchLab since 2016.,,PPD,0,,,,,,YES; with relevant exceptions,Pennsilvania Right to Know Law,39.9525839,-75.165222
San Antonio,Texas,"1,511,946","3,238",75.1,2008,1/7/08,0,0,0,,,0,0,0,0,2018 San Antonio Police Department website embraces the use of Intelligence Led Policing. However there is no record of the use of any predictive policing software in San Antonio,,,9,,,,,,YES,Texas Public Information Act,33.4483771,-112.07404
San Diego,California,"1,419,516","4,325",57.2,2008,1/8/08,0,0,0,,,0,0,0,0,2010 San Diego Police Department requested and received funding from the Bureau of Justice Assistance for the development of a predictive policing program. However there is no record of the purchase or development of any software using those funds; 2014 San Diego Police Department Chief credits fall in murder rate with the use of predictive policing technologies; 2015 San Diego appears in a 2015 case study as an example of successful crime mapping with their use of Omega Group's CrimeView software (in 2012 Omega Group purchased HunchLab for use in its CrimeView software). However it is unclear whether San Diego still uses CrimeView or if CrimeView was the software referenced by the SPD Chief in 2014; 2018 ShotSpotter (a gunshot detection software used by San Diego) purchased HunchLab's predictive analytics package to be incorporated into its software. ,2010 BJA,CPD,0,,,,,,YES,California Public Records Act,29.4241219,-98.493628
Dallas,Texas,"1,341,075","3,866",71.3,2008,1/9/08,1,1,1,Target Action Area Grids,Target Action Area Grids,5,6,1,0,"2008 Dallas Police Department developed Target Action Area Grids, a crime mapping software designed to predict ""where conditions were favorable for crime to occur""; 2018 City of Dallas memorandum highlighted the continued use and development of TAAG predictive capabilities (the memorandum simultaneously notes that TAAG has had predictive capabilities and casts doubts on the strength of those capabilities prior to 2018).",,,0,,,,,,YES,Texas Public Information Act,32.715738,-117.16108
San Jose,California,"1,035,317","5,777",73.7,2008,1/10/08,0,0,0,,,0,0,0,0,2015 San Jose Police Department signed a 5 year contract with Omega Group's CrimeView software (in 2012 Omega Group purchased HunchLab for use in its CrimeView software),,SJPD; Major & City Council,0,,,,,,YES,California Public Records Act,32.7766642,-96.796988
